rnaseq_sample,guardian_dependence,executioner_availability,r,resistant
BA2425R,0.7934936350777935,0.05799151343705799,176.937090059041,1
BA2304R,0.37906647807637905,0.8910891089108911,270.650452658492,1
BA2976R,0.34582743988684583,0.2376237623762376,181.5162294119,1
BA2386R,0.35007072135785006,0.3041018387553041,178.321575123451,1
BA2035R,0.11598302687411598,0.5983026874115983,22.715344874328,0
BA2201R,0.5063649222065064,0.85997171145686,151.83691747873,0
BA2113R,0.18246110325318246,0.15134370579915135,115.184788412416,0
BA2155R,0.5127298444130127,0.9363507779349364,31.8112276939687,0
BA2502R,0.9483734087694484,0.6492220650636492,145.323293604171,0
BA2322R,0.6803394625176803,0.6393210749646393,226.705297302972,1
BA2376R,0.28854314002828857,0.637906647807638,270.481887750565,1
BA2226R,0.3613861386138614,0.19519094766619519,219.798690257323,1
BA2200R,0.6626591230551626,0.12588401697312587,62.0201020476297,0
BA2121R,0.5240452616690241,0.4738330975954738,221.49532550877,1
BA2033R,0.7432814710042432,0.9504950495049505,240.065421736095,1
BA2867R,0.47454031117397455,0.3649222065063649,234.411530154763,1
BA2089R,0.08062234794908062,0.28995756718529,286.259689629772,1
BA2972R,0.272984441301273,0.5770862800565771,239.203526392382,1
BA2978R,0.6895332390381895,0.1782178217821782,167.67363630626,1
BA2829R,0.5565770862800565,0.23903818953323905,229.485375335362,1
BA2851R,0.46746817538896746,0.17963224893917965,135.460528479594,0
BA2695R,0.7241867043847242,0.4681753889674682,163.25349238946,1
BA2623R,0.46746817538896746,0.5502121640735502,159.507943587444,1
BA2271R,0.47454031117397455,0.4243281471004243,155.724409484075,0
BA3004R,0.1789250353606789,0.01272984441301273,127.389533816527,0
BA3010R,0.036775106082036775,0.347949080622348,193.891933221205,1
BA2662R,0.28854314002828857,0.7949080622347949,185.459481145083,1
BA2674R,0.13578500707213578,0.925035360678925,64.7700177631557,0
BA2280R,0.0785007072135785,0.1966053748231966,112.714320118039,0
BA2512R,0.6039603960396039,0.5601131541725601,245.508597014026,1
BA2658R,0.5063649222065064,0.06647807637906648,284.04268958811,1
BA2394R,0.47454031117397455,0.19236209335219237,163.947058068038,1
BA2950R,0.7659123055162659,0.7666195190947667,237.922001164842,1
BA2981R,0.8635077793493635,0.13437057991513437,189.044238240343,1
BA2249R,0.19519094766619519,0.3620933521923621,147.620693467218,0
BA2034R,0.024045261669024046,0.10325318246110325,67.6164551466595,0
BA2109R,0.9052333804809052,0.25884016973125884,170.032873422929,1
BA2277R,0.16548797736916548,0.10891089108910891,64.8713174932189,0
BA2727R,0.2376237623762376,0.20226308345120225,184.988386531787,1
BA2132R,0.7369165487977369,0.7637906647807637,134.190571632788,0
BA2618R,0.12093352192362093,0.4752475247524752,184.009890761732,1
BA2521R,0.18811881188118812,0.5615275813295615,231.11302762139,1
